",""IdLandkreis"",""Altersgruppe"",""Geschlecht"",""Meldedatum"",""Refdatum"",""IstErkrankungsbeginn"",""NeuerFall"",""NeuerTodesfall"",""NeuGenesen"",""AnzahlFall"",""AnzahlTodesfall"",""AnzahlGenesen"""
"258,9162,""A15-A34"",""M"",2022-02-09,2021-02-05,1,0,-9,0,1,0,1"
"259,9162,""A60-A79"",""M"",2022-02-11,2021-02-06,1,0,-9,0,1,0,1"
"260,9162,""A35-A59"",""M"",2022-02-09,2021-02-07,1,0,-9,0,1,0,1"
"261,9162,""A05-A14"",""M"",2022-02-08,2021-02-07,1,0,-9,0,1,0,1"
"262,9162,""A60-A79"",""M"",2022-02-09,2021-02-08,1,0,-9,0,1,0,1"
"263,9162,""A15-A34"",""M"",2022-02-02,2021-02-09,1,0,-9,0,1,0,1"
"264,9162,""A15-A34"",""M"",2022-02-10,2021-02-09,1,0,-9,0,1,0,1"
"265,9162,""A15-A34"",""M"",2022-02-13,2021-02-11,1,0,-9,0,1,0,1"
"266,9162,""A35-A59"",""M"",2022-02-14,2021-02-12,1,0,-9,0,1,0,1"
"267,9162,""A05-A14"",""M"",2022-02-16,2021-02-14,1,0,-9,0,1,0,1"
"268,9162,""A15-A34"",""M"",2022-02-15,2021-02-14,1,0,-9,0,1,0,1"
"269,9162,""A35-A59"",""M"",2022-02-16,2021-02-15,1,0,-9,0,1,0,1"
"270,9162,""A15-A34"",""M"",2021-12-17,2021-02-15,1,0,-9,0,1,0,1"
"271,9162,""A35-A59"",""M"",2022-02-16,2021-02-16,1,0,-9,0,1,0,1"
"272,9162,""A35-A59"",""M"",2022-02-17,2021-02-16,1,0,-9,0,1,0,1"
